,advisor,author,created,abstract,uri,title,discipline
270,"Bensa Morales, Jessica Violeta","Limay Castillo, Jimena Gisella",2018-11,"En el año 2013, siendo ministra de Salud Midori de Habich, se impulsó la
Reforma del Sector Salud. Tras una extensa huelga realizada por la Federación
Médica Peruana en rechazo de esta, se presentó una moción de censura en
contra de la ministra y, tiempo después, De Habich anunció su renuncia. En este
sentido, es posible considerar pertinente el siguiente cuestionamiento: ¿Qué
factores influyen en la capacidad de agencia de dicho gremio?
A fin de poder responder a la pregunta propuesta, la presente
investigación tiene por objetivo analizar los factores que influyen en la capacidad
de agencia del gremio médico en el contexto de la reforma del sector salud, para
ello se toman en cuenta los siguientes: identidad corporativa del gremio, las
características organizativas del mismo, las características organizativas del
sector salud y el contexto político en el que ocurre la reforma. El análisis aplicado
permite reconocer la existencia de componentes inherentes a la formación en la
carrera médica que generan un pacto tácito de protección en el grupo profesional
estudiado, falencias dentro de la estructura organizativa del gremio que generan
cúpulas instauradas y el efecto negativo que tuvo la inestabilidad del partido
oficialista. A su vez, se identifica un componente social que beneficia a la
profesión médica por encima del resto de profesionales de salud que podría
explicar el respaldo al gremio de parte de la sociedad civil.",http://hdl.handle.net/20.500.12404/14040,Lo no saludable del intento: análisis de la capacidad de agencia de la Federación Médica Peruana en el marco de la reforma de la política salarial y laboral del sector salud en el período 2013-2014,Ciencia Política y Gobierno
271,"Alza Barco, Abelardo Carlos Alberto","Chiroque Ruiz, Christian Omar",2017,"Desde mediados del año 2000, luego que salieran a la luz diversos escándalos
durante el gobierno de Alberto Fujimori que permitieron descubrir una compleja
red de corrupción que capturó a diversas entidades del Estado a distintos niveles, surgieron una serie de iniciativas de política vinculadas con la lucha contra la corrupción. Una de las instituciones que estuvo inmersa en casos de gran corrupción durante la década del 90 y se posicionó como una entidad con alta vulnerabilidad a la incidencia de casos de pequeña corrupción fue la Superintendencia Nacional de Aduanas y de Administración Tributaria –SUNAT. Por ello, desde el 2012 se puso en funcionamiento la Oficina de Fortalecimiento Ético y Lucha contra la Corrupción, la cual tiene por objetivo el desarrollo de acciones de prevención y control de la corrupción dentro de los procesos institucionales de la entidad. La presente investigación tiene como objetivo explicar los alcances de los mecanismos de coordinación gubernamental en la implementación de políticas de control de la corrupción en la SUNAT durante el periodo 2012 - 2015. Según los resultados de la investigación, las principales limitaciones están relacionadas con el solapamiento de distintos dispositivos de política anticorrupción, vacíos dentro del funcionamiento del Órgano de Control Institucional - OCI, ineficientes sistemas de medición e identificación de riesgos de corrupción y desiguales capacidades técnicas entre las áreas encargadas de la política y las unidades operativas.",http://hdl.handle.net/20.500.12404/9499,Alcances y limitaciones de los mecanismos de coordinación gubernamental en la implementación del plan nacional de lucha contra la corrupción: el sector Economía y Finanzas,Ciencia Política y Gobierno
272,"Vidarte Arévalo, Oscar","Dextre Izquierdo, Carlos Alejandro",2019-11,"“Donde manda capitán… Perú y Venezuela en la OEA, 2011 – 2016” es una
investigación que busca entender la racionalidad que existe detrás de la
postura peruana para con Venezuela en la OEA durante el gobierno de Ollanta
Humala. Además, busca desmitificar la idea de que la relación óptima que
mantenía el presidente Humala es una variable absoluta para determinar la
posición del Perú en materia de política exterior.
A través de entrevistas con actores clave, revisión de documentos oficiales de
la OEA y un recuento histórico de hechos, centrado en el modelo político
burocrático planteado por Graham T. Allison y otros autores, la investigación
concluye que el proceso de toma de decisiones en política exterior con
respecto al tema Venezuela en la OEA presentaba cierta contraposición de
opiniones e intereses los cuales partían de los actores involucrados en el
proceso; tales como el presidente, la Cancillería y los representantes “políticos”
ante la OEA.
Estos actores bajo una misma línea de mando, que parte desde el presidente,
van a brindarle ciertos matices a las intenciones iniciales del jefe de estado
haciendo del producto final un esbozo de varios intereses; el cual se explica
desde las variables aquí presentadas.
En conclusión, el nombre “Donde manda capitán…” hace atribución al clásico
dicho “donde manda capitán, no manda marinero”. En la presente
investigación, se presenta la primera parte de dicha frase en alusión a que en
el caso peruano para con Venezuela en la OEA, las intenciones del jefe de
estado no necesariamente se llevaban a cabo tal y cómo se indicaban.",http://hdl.handle.net/20.500.12404/15552,"Donde manda capitán : Perú y Venezuela en la OEA, 2011 - 2016",Ciencia Política y Gobierno
273,"Alayza Mujica, María Rosa","Silva Caillaux, Gianfranco",2018,"En diciembre de 2015, el Lugar de la Memoria (LUM) fue inaugurado tras una serie de inusuales alianzas plurales entre sectores liberales y otros más izquierdistas, bajo un accionar siempre prudente y consciente de sus propias limitaciones. Esto estuvo expresado en la lógica del “prevenir antes que lamentar”, aunque a veces esta autoconciencia de la propia debilidad haya sido un poco excesiva. Esta investigación busca comprender de qué modo la falta de consenso en la opinión pública y la oposición política latente a la memoria de la violencia política y a la Comisión de la Verdad y la Reconciliación, influenció el proceso de formulación del LUM. Se ubican tres momentos políticos (Alameda, Museo y Lugar) que, a pesar de su ubicación (sociedad civil o Estado), la diferente composición de sus coaliciones promotoras o que se auto-perciban radicalmente distintas entre sí, mantienen un grado importante de continuidad en torno a coordenadas generales de memoria. Esto debido a que comparten un núcleo básico de memoria delimitado por la CVR, aunque constantemente los promotores del LUM traten de desmarcarse de ella, debido a la polarización de memorias existente y la incapacidad de generar una hegemónica en la sociedad. Debemos reconocer que el LUM no existiría sin el camino trazado y las batallas libradas por la CVR. Al mismo tiempo, frente a ella hay una oposición constante que demuestra la continuidad en la falta de consenso sobre los hechos de la violencia política. Por otro lado, las discrepancias entre las coaliciones pro-LUM se generan, más bien, debido a diferencias sobre preferencias de políticas de memoria (las discusiones estéticas de los guiones museográficos), que influencian la conformación de las coaliciones mediante redes sociales. Asimismo, como procedimiento de las coaliciones encontramos una continuidad en la cerrazón y el limitado diálogo con actores que piensan distinto, como los opositores (fujimoristas o grupos alzados en armas) y las víctimas, quienes son tematizadas pero no tratadas como agentes políticos. Este trabajo celebra la existencia de un LUM, con todos sus aciertos y errores, en un contexto político tan complicado",http://hdl.handle.net/20.500.12404/12361,"Prevenir antes que lamentar : luchas políticas y la formación de coaliciones promotoras en torno a la creación del Lugar de la Memoria, la Tolerancia y la Inclusión Social en el polarizado Perú posconflicto (2003-2015)",Ciencia Política y Gobierno
274,"Alayza Mujica, María Rosa","Flores De La Torre, Katherine Stephanie",2019,"Después de dieciséis años de la descentralización educativa no se ven grandes
avances. Se mantienen debilidades en la gestión descentralizadora del Minedu
que se evidencian en una falta de conocimiento de las realidades regionales y
locales, así como la ausencia de mecanismos apropiados que inciden a nivel
subnacional. Sin embargo, algunas regiones, como Ayacucho y Junín
encontraron la oportunidad de adaptar políticas educativas nacionales,
canalizando la demanda y energías de instituciones y grupos de la sociedad civil
en el cambio educativo.
La presente tesis está utilizando el enfoque de las Coaliciones Promotoras
(Sabatier &Weible, 2007; Bentancur, 2016) busca comprender cuáles fueron los
cambios en la gestión educativa en los departamentos de Ayacucho y Junín entre
el 2011 y 2016. Mediante el uso de una metodología cualitativa- revisión de
fuentes secundarias y entrevistas semiestructuradas (alrededor de 17), se
sostiene que la presencia de una coalición promotora fuerte en Ayacucho y una
en formación en Junín, ha generado en cada región una dinámica de cambio en
la gestión educativa regional y local, basada en la formación de Coaliciones con
un discurso compartido por actores estatales y no estatales sobre el papel crítico
de la educación para lograr un desarrollo social que promueva igualdad y
diversidad.
Si bien en la partida constata de ciertas similitudes en el contexto, estas regiones
poseen estrategias y/o formas de actuación diferentes y propias. En Ayacucho,
se identifica la formación de una coalición promotora fuerte que comparte ideas
entre diferentes actores (DREA, 11 UGEL, Copare, AARLE, MCLCP, Copale,
Tarea) que impulsan el cambio mediante la difusión y conocimiento de las
políticas a través de planes y compromisos concertados. La coalición
Ayacuchana muestra iniciativa propia e incluye en el mismo plano actores
estatales de la educación como de grupos de la sociedad, lo que le permite una
gran incidencia en la sociedad. En cambio, en Junín la estrategia se centra una
mirada institucional que bajo la iniciativa del director de Educación y desarrollo
social regional canalizó las instancias intermediarias (DREJ-UGELSlocalidades)
desde el 2011. Pero debido a la intervención tardía y ausencia de
espacios de concertación de Copare, así como el bajo interés mostrado por otros
grupos de la sociedad civil, se considera que la coalición de Junín está en
construcción.",http://hdl.handle.net/20.500.12404/15553,Formación de coaliciones promotoras en políticas educativas : los casos de Ayacucho y Junín (2011-2016),Ciencia Política y Gobierno
275,"Adins, Sebastien","Bendezu De la Cruz, Camila Janet",2019-12,"Las relaciones bilaterales entre Perú y Brasil han fluctuado entre el
acercamiento y el cordial desinterés. Esta inconsistencia en la agenda entre
ambos países impidió que se fortalezcan lazos en materia política,
económico, cultural, ambiental, seguridad, entre otros temas, por mucho
tiempo.
No obstante, a inicios del nuevo milenio escenarios como el retorno de la
democracia en Perú y la consolidación de Brasil como potencia regional
(Mindreau 2006:18) permitieron un acercamiento entre ambas naciones.
Como consecuencia de ello, se firmó una Asociación Estratégica (2003), que
iba a suponer una profundización en sus relaciones bilaterales.
Sin embargo, una década más tarde los resultados, a grandes rasgos,
muestran lo contrario: escándalos de corrupción en torno a la construcción
de megaproyectos licitados a empresas brasileñas en Perú y un déficit
comercial con Brasil , que ascendió a 695 millones de dólares, en el año 2018.
Por lo general los estudios acerca de las relaciones peruano-brasileñas han
sido enfocados en el aspecto comercial. En vista de ello, la presente
investigación se enfocará en la agenda de seguridad de mencionados países.
Se tomará como caso de estudio los Mecanismos de Seguridad y Confianza
Mutua, que son una serie de acuerdos a los cuales dos países se comprometen, con el único objetivo de incrementar y fomentar la confianza
(Galindo 1994).
Los Mecanismos de Seguridad y Confianza Mutua entre Perú y Brasil se han
caracterizado por presentar dificultades en materia de desarrollo e
implementación. Por ello, en la presente investigación se identificaran cuáles
son los factores que afectan el desempeño de los Mecanismos de Seguridad
y Confianza Mutua.",http://hdl.handle.net/20.500.12404/16724,Un análisis de la agenda de seguridad Perú-Brasil: los mecanismos de seguridad y confianza mutua (2003-2018),Ciencia Política y Gobierno
276,"Ames Cobián, Rolando Lorenzo","López Lancho, Daniella Lucía",2017,"Tomando en cuenta que las agrupaciones políticas del Perú existen en tanto participan en elecciones y son el referente más cercano de partido político en nuestro país, este proyecto parte de la idea de la necesidad de estudiar y pensar los procesos electorales en el Perú desde los actores principales: los y las electoras. El objetivo será poder establecer un análisis desde el individuo en su relación con los partidos políticos, aquellos que existen en su entorno, en su comunidad, con los que se siente cercano. Propongo para este trabajo la categoría de las relaciones electorales. Es decir, el elector se relaciona con los partidos políticos que existen en el Perú, por medio de relaciones, relaciones que podríamos identificar como no temporales, sin vínculos, con alto factor emocional, en algunos casos con bajos niveles de racionalidad, y en otros con gran cálculo. Con ello, se identifica un elemento clave para definir cuándo tendremos uno u otro tipo de relación electoral: la comunicación política. Bajo esta lógica, se propone que serán los efectos en comunicación política los que explican las relaciones electorales y, por tanto, la
variable independiente del estudio. De esta manera, se busca investigar cómo votan y por qué votan de determinada manera los electores en un periodo concreto de estudio: la campaña en primera vuelta del año 2011, para ser entendido a la luz de las elecciones del año 2006 (como antecedente) y con ello generar una reflexión sobre las elecciones del año 2016. En este escenario, se ofrece un análisis que toman como principal herramienta los resultados de 9 grupos focales (divididos en 3 niveles socioeconómicos y 3 grupos etarios), para luego establecer tipologías que intentan explicar cómo es el elector o electora de cada tipo de relación electoral propuesta. Así, tendremos tres tipos de relaciones electorales: volátil-racional, volátil - emocional y volátil - anti, que se ven afectadas en mayor o menor medida por 3 tipos de efectos de comunicación política: Discurso y papel del líder (¿cómo es percibido?), Efectividad electoral de las estrategias de campaña, Medios y propaganda (Spots publicitarios, líderes de opinión, principales medios de información). Será entonces a partir de este esquema que se buscará responder a la pregunta general de investigación: ¿Qué papel juega y cómo influye la comunicación política en las relaciones electorales?; y con ello probar dos hechos concretos: 1. ¿Existen o no relaciones electorales? 2. De existir, ¿éstas se dan, entre otras cosas, por efectos en comunicación política? ¿Cómo? La hipótesis es que sí, para ambos casos, y el incentivo de la investigación será en describir el cómo para comprobarlo. Con ello se buscará una caracterización general de los electores y su forma de votar de acuerdo a tres niveles socioeconómicos y tres grupos etáreos.",http://hdl.handle.net/20.500.12404/9684,Relaciones electorales : efectos de comunicación política y relaciones de poder,Ciencia Política y Gobierno
277,"Tanaka Gondo, Ricardo Martín","Vignolo Pérez, Carloandre Alejandro",2018-09,"Las lides políticas electorales de la última década nos presentan dos fuerzas políticas muy definidas: el fujimorismo y el anti-fujimorismo. El triunfo del anti-fujimorismo nos ha mostrado a su vez tres circunstancias singulares: el auge de los movimientos ciudadanos de protesta social que se originan y difunden por internet y las redes sociales; el paulatino deterioro del poder de convocatoria de los partidos políticos y, por último, la polarización del escenario político entre las dos fuerzas políticas ya mencionadas. En este contexto, el rol del colectivo No a Keiko ha sido determinante en los resultados electorales. ¿Cómo se puede explicar el éxito de un colectivo surgido a partir de coyunturas electorales? Es evidente que No a Keiko ha captado para su beneficio muchos factores que en medio de los dos procesos electorales han jugado a su favor. El desarrollo tecnológico vertiginoso desde la primera década del siglo XXI; específicamente el de internet y su masificación es uno de ellos, principalmente a través de las redes sociales; tanto así, que muchos estudios
aventuran la idea de que la política actual no puede desarrollarse sin estas redes. ¿Qué tanto ha aportado para la causa anti-fujimorista el desarrollo tecnológico? Pareciera que mucho, porque la gestación, difusión, convocatorias y adhesiones del y hacia el colectivo se han efectuado principalmente por esta vía. Por otro lado, otro factor preponderante en este éxito es la fuerza latente primero y evidente después, de un anti-fujimorismo a ultranza. No a Keiko solo ha tenido que activar reactivos para que esa fuerza fuera determinante en los resultados electorales de 2011 y 2016. El estudio de este colectivo ha permitido conocer de cerca al núcleo duro de activistas que lo lideran, encontrando no solo un variopinto conjunto de perfiles profesionales e ideológicos, sino también una fuerte identidad nucleada alrededor del rechazo al fujimorismo. Además, nos ha permitido conocer la manera en que la estrategia de exacerbar la memoria política en contra del fujimorismo ha redituado el éxito para este movimiento. Sin embargo, el estudio de No a Keiko implica también conocer sus objetivos en el mediano y largo plazo y con ello, sus debilidades y fragilidades en torno al escenario hacia el 2021. He ahí un rasgo que se debe considerar en No a Keiko: su fragilidad como colectivo en escenarios no electorales. Muestra de ello sus fallidas convocatorias contra la corrupción con sendos fracasos, sobre todo cuando a raíz de sus éxitos electorales, se consideraba que No a Keiko, tenía futuro en la política del país, lo cual no ocurrió porque la estructura basada en las redes sociales no es lo suficientemente fuerte para canalizar mayores objetivos políticos y porque lejos del anti-fujimorismo, la población no muestra mayores intenciones de protesta",http://hdl.handle.net/20.500.12404/13261,El colectivo No a Keiko : alcances y límites de las nuevas formas de protesta gestadas en las redes sociales,Ciencia Política y Gobierno
278,"Dargent Bocanegra, Eduardo Hernando","Urteaga Quispe, Madai",2017,"¿Están las decisiones de política pública siempre determinadas por las élites
empresariales? ¿Hasta qué punto el Estado peruano está capturado por estos
actores? Esta tesis aboga por una reevaluación de la teoría de captura del Estado
tan difundida en el contexto peruano y propone una explicación alternativa para
entender el éxito o fracaso del poder empresarial en avanzar sus intereses de
política pública. Se argumenta que este depende de tres factores: (i) la cohesión de
los actores empresariales, (ii) la presencia (o ausencia) de opositores capaces de
hacerles frente, y (iii) el tipo de arena de competencia en el que se desempeñen,
invisible o visible, y el grado de relevancia que posea el tema de política pública en
controversia en esa arena. Usando una metodología cualitativa, esta tesis analiza el caso de la aprobación de la ley de moratoria a los transgénicos en el Perú (2011) para demostrar esta dinámica de fracaso empresarial. Las élites económicas durante la administración derechista de Alan García no lograron triunfar en sus intentos de
aprobar una ley permisiva para la siembra de semillas transgénicas a pesar de su
poder y de estar bien representados en el Ejecutivo. Su involucramiento modesto y
su incapacidad para articular un frente unificado enfrentó a una movilizada oposición
de los grupos de la sociedad civil económicamente débiles que obligaron a las élites
a pasar de un campo cerrado de competencia a uno abierto. En este nuevo espacio,
la coalición de la oposición ganó ventaja, pues que las fuentes tradicionales de poder de los actores empresariales ya no eran determinantes. Las estrategias de movilización altamente simbólicas utilizadas por la coalición le permitió frustrar los
intereses de los actores empresariales y, en última instancia, tener éxito en aprobar
la moratoria a los transgénicos. Además, la tesis explora dos otros casos de fracaso
y éxito del poder empresarial, la regulación de las franjas de pesca de anchoveta
(2012-2013) y la “Ley Pulpín"" (2014-2015), para dotar de validez externa a la teoría
propuesta.",http://hdl.handle.net/20.500.12404/9685,Cuando los poderosos pierden : Poder empresarial y regulación del cultivo de semillas transgénicas en el Perú,Ciencia Política y Gobierno
279,"Lanegra Quispe, Iván Kriss","Tello Otrera, Hernán Ernesto",2018,"Recientemente, el cambio climático ha ganado mayor presencia en la política
nacional, debido a la fuerte demanda por implementar medidas concretas sobre las soluciones más adecuadas para enfrentar el fenómeno. Surge la pregunta: ¿Es el Estado capaz de responder a esta demanda? Se han producido cambios en las dinámicas de poder para definir el diseño de las políticas climáticas que involucran múltiples actores estatales y no estales. Entonces, ¿quién decide hoy sobre estas políticas? Esta investigación propone analizar esta situación centrándose en el caso del diseño de las Contribuciones Nacionalmente Determinadas (NDC) del Perú, instrumento de política climática más importante en el país. La tesis identifica los factores que explican su diseño, utilizando como herramienta de análisis el marco de coaliciones promotoras, a fin de explicar el papel de los actores involucrados en el proceso, sus redes y conexiones para poder incidir en su elaboración. Se identifican tres coaliciones promotoras: el grupo que participa en el Proyecto PlanCC y que se
involucra en el diseño de las NDC, los actores estatales tradicionales (MEF y MEM) acompañados por grupos empresariales y el Grupo “Perú, Ambiente y Clima”; que se involucran en un contexto de baja capacidad del Estado y de fuerte apoyo de la cooperación internacional bajo especiales directrices, que favorecen que la primera coalición se imponga, a través de un proceso que va neutralizando obstáculos y oposiciones, con el mensaje de que éstos contaban con la opción de política que se ajustaba más a las necesidades y el contexto internacional. Sin embargo, esta victoria es limitada debido a que el producto es concebido como medianamente ambicioso e insuficiente, demostrándose que la estrategia de neutralización requirió generar pactos con quienes se oponían, otorgándoles espacios de influencia de la coalición, dentro de un contexto de múltiples intereses y agendas",http://hdl.handle.net/20.500.12404/13129,¿Quién decide sobre política climática? : coaliciones detrás del diseño de las Contribuciones Nacionalmente Determinadas (NDC) del Perú,Ciencia Política y Gobierno
280,"Magallanes Reyes, José Manuel","Romero Castañeda, Joel David",2019-05,"Diversos estudios realizados por investigadores y organismos
internacionales señalan la eficacia y eficiencia del gobierno central en el Perú en
la implementación de leyes de acceso a la información pública (Global Right to
Information Rate, 2018) y en el desarrollo sistemas de divulgación de información
financiera y presupuestal para todos los niveles de gobierno (ONU, 2018). Sin
embargo, casi no existen aproximaciones cuantitativas a los fenómenos de
divulgación de información pública en el nivel subnacional. En el presente
estudio, se plantea analizar la transparencia en las plataformas electrónicas
como los efectos de acciones políticas y administrativas que se ven reflejados
en dos componentes: i) la publicación oportuna de información en distintos
rubros solicitados por ley (oportunidad) y ii) la inclusión de elementos para la fácil
identificación de la misma. Para ello, se realiza el recojo de evidencia a través
del análisis de contenido de las plataformas de reporte de información
consagradas en la Ley de Transparencia y Acceso a la Información Pública
(27806).
A partir de la información recolectada, se procede a realizar la
construcción de indicadores para describir los niveles de transparencia en las
municipalidades, y se utilizan modelos lineales para contrastar las hipótesis
planteadas en torno a sus posibles condicionantes. Se determina que, pese a
que la gran mayoría de municipalidades cuenta con portal web y buena parte de
estas incluyen criterios mínimos de navegabilidad, casi todas son muy poco o
nada oportunas en la publicación de información sobre personal, gastos
comunes, servicios y visitas a funcionarios. Asimismo, se afirma que la
implementación de las plataformas electrónicas de transparencia se encuentra
condicionada por el compromiso organizacional, el performance económico, la
disponibilidad de recursos básicos, el grado de fragmentación política, el tipo de
organización política de la autoridad electa, y por el número de denuncias por
delitos contra la administración pública.",http://hdl.handle.net/20.500.12404/14533,Implementación precaria de políticas de acceso a la información pública : niveles de transparencia en las páginas web institucionales y en los portales de transparencia estándar (PTE) de las municipalidades provinciales del Perú en el 2018,Ciencia Política y Gobierno
281,"Dargent Bocanegra, Eduardo Hernando","Quiñón Cárdenas, Aarón Villazar",2018,"En el Perú se han identificados ciertos síntomas señalados por la literatura en economía política bajo la teoría de la “maldición de los recursos naturales, siendo caracterizado por ser un Estado dependiente de las rentas de recursos naturales, presentar un sistema político-institucional débil, donde persiste la desigualdad económica y social y una pobre diversificación productiva. En este marco, un balance general del impacto de los recursos a nivel subnacional muestra fuertes contraste donde, por un lado, encontramos regiones con una persistencia de la desigualdad y la conflictividad social, numerosos casos de corrupción y reducida eficiencia en el gasto público, mientras que otras regiones tienen resultados positivos en la gestión de rentas extractivas ¿Por qué bajo algunos contextos las rentas extractivas no han conducido a resultados negativos a nivel subnacional y en qué condiciones sí ha sido
provechoso? La presente investigación centra su atención en el gobierno regional de Moquegua (2002-2018), región con altos ingresos por minería pero que, a diferencia de otras regiones mineras, ha mostrado un desempeño positivo en términos sociales, económicos y políticos, siendo la segunda región con mayor desarrollo humano y prestación de servicios públicos, además de ser considerada como una de las regiones más competitivas en el Perú Considerando la importancia del contexto al momento de la llegada de los recursos, el argumento central propone que los antecedentes institucionales y una activa participación de la sociedad civil son factores claves no solo para constreñir una trayectoria negativa, sino para trazar un aprovechamiento positivo de los recursos. Además, la intensidad de los factores identificados es fundamental para entender la variación al interior de la región. Finalmente, estos factores nos ayudarán a comprender la trayectoria de otras regiones considerando el contexto",http://hdl.handle.net/20.500.12404/13128,Trayectorias regionales y recursos naturales : el caso del gobierno regional de Moquegua (2002-2018),Ciencia Política y Gobierno
282,"Aragón Trelles, Jorge","Alva Mendoza, Almen Jair",2019-04,"La revocatoria de mandato a alcaldes distritales en el Perú es uno de los
mecanismos de la democracia directa más usado en el mundo (Tuesta, 2014,
p. 54). Por tal motivo, la presente tesis se pregunta sobre los determinantes de
activación de Consultas Populares de Revocatoria (CPR) a alcaldes distritales
durante los periodos 2011-2014 y 2015-2018 para, consiguientemente,
responder sobre las similitudes y/o diferencias entre ambos periodos. El
método de investigación utilizado es el análisis de conglomerados (clusters)
que se realiza a partir de una base de datos novedosa que recoge información
socioeconómica y política de los distritos (unidades de análisis) donde se
activaron CPR en los periodos mencionados. De esta manera, se ha logrado un
planteamiento teórico y empírico de las dinámicas de activación de CPR antes
y después del último cambio legislativo que regula su uso. El argumento central
de la tesis es que el cambio normativo no ha logrado modificar las dinámicas
detrás de las revocatorias; puesto que, condiciones como la alta competitividad
política acompañada por altos ingresos presupuestales y promotores de
revocatoria altamente politizados siguen siendo los principales determinantes.
Esta tesis busca aportar a la comprensión de la confluencia de determinantes sociales, económicos y políticas para la activación de CPR en los distritos del
Perú.",http://hdl.handle.net/20.500.12404/14379,"Pueblo chico, infierno grande. La Consulta Popular de Revocatoria a alcaldes distritales antes y después de la reforma de la Ley de los Derechos de Participación y Control Ciudadanos",Ciencia Política y Gobierno
283,"Vidarte Arévalo, Oscar","Morales Zorrilla, Víctor Hugo",2019-12,"Esta investigación tiene como propósito explicar el rol de la Organización
de los Estados Americanos en la democratización del Perú durante el período
2000-2001 desde un enfoque de las Relaciones Internacionales. Entre los
principales hallazgos destaca la configuración de intereses de los Estados
miembros de la OEA para dotarla de un campo de acción amplio para intervenir
en el 2000. Así como también, dentro de la organización existió un alineamiento
entre órganos y funcionarios que permitió un accionar sustantivo de la entidad.
Este trabajo analiza, primero, algunos casos en la región donde la OEA ha
utilizado diversos mecanismos para apoyar en la democratización. En un
segundo capítulo se aborda los juegos de poder interestatal dentro de la OEA.
Por último, se analiza el rol interno de la OEA como institución internacional. Para
tal fin se han realizado entrevistas a profundidad a personajes de la época y se
ha hecho una búsqueda bibliográfica exhaustiva.",http://hdl.handle.net/20.500.12404/15573,La Organización de Estados Americanos (OEA) en el proceso de democratización del Perú entre el 2000 y el 2001 : una explicación desde las Relaciones Internacionales,Ciencia Política y Gobierno
284,"Dargent Bocanegra, Eduardo Hernando","Reátegui Montesinos, Gonzalo Rafael",2018-12,"Las políticas públicas del Estado requieren de distintos factores para que esta
pueda tener una eficaz y eficiente implementación. El liderazgo del gestor, el
apoyo económico o político por parte de los gobiernos sub-nacionales y la
articulación, son algunos ejemplos de estos factores. Asimismo, cada política
pública tiene un ámbito de aplicación distinto, ya que algunas políticas
requieren el esfuerzo de distintos sectores del Gobierno, mientras que otras
solo requieren el liderazgo de un sector específico. Al respecto, un ámbito poco
estudiado en el Perú es la articulación es nivel sectorial, que es donde solo se
involucra un sector con distintos actores sociales e institucionales.
Para esta investigación, el caso que se va a profundizar es a nivel sectorial en
los centros de salud mental comunitarios del Ministerio de Salud. Estos centros
de salud especializados aplican un abordaje comunitario para tratar la salud
mental, ya que tienen individuo y su relación con el entorno como eje. Estos
han sido implementados a partir del 2015 desde un trabajo articulado con las
redes de salud, los establecimientos de salud de primer nivel, las
municipalidades distritales, las organizaciones sin fines de lucro y los actores
sociales de la comunidad. Para abordar este novedoso tema, se trabajó con
tres distintos centros comunitarios de la ciudad de Lima y Callao, que, a pesar
de tener características similares, estos han tenido un desempeño diferenciado
a lo largo de tres años. La finalidad de la investigación es analizar la
importancia que ha tenido la articulación sectorial, el liderazgo de la jefatura y
el apoyo político local; que permitan explicar dicho rendimiento diferenciado
entre los centros comunitarios estudiados.",http://hdl.handle.net/20.500.12404/13944,La articulación sectorial como factor de éxito en los centros comunitarios de salud mental,Ciencia Política y Gobierno
285,,"Arce Arce, Gerardo Alberto",2011,"El objetivo de la presente investigación es estudiar el conjunto de estrategias políticas que las fuerzas armadas desarrollaron para hacerle frente a dos procesos simultáneos ocurridos tras la transición a la democracia iniciada en el Perú el año 2000: Por un lado, el proceso de justicia transicional tras fin del régimen de Alberto Fujimori, cuyo principal hito fue la instalación de una Comisión de la Verdad y Reconciliación, y la subsecuente judicialización de casos de violaciones de derechos humanos cometidas por efectivos militares durante el conflicto armado interno; Por otro lado, la creciente tendencia de los últimos gobiernos democráticos de utilizar a la fuerza armada para tareas de seguridad interior, tanto en el control de la seguridad pública, ante los crecientes niveles de conflictividad y movilización social registrados en el Perú, como en el combate a los remanentes armados de Sendero Luminoso aliados al narcotráfico en el valle de los ríos Apurímac y Ene (VRAE).",http://hdl.handle.net/20.500.12404/1317,"La herencia del pasado : Fuerzas Armadas, derechos humanos y seguridad interior en el Perú contemporáneo.",Ciencia Política y Gobierno
286,"Espinosa de Rivero, Oscar Alberto","Gamboa Balbín, Aída Mercedes",2012,"A través del estudio de los casos “La Reserva Comunal Amarakaeri” y “La Cuenca
del Río Curaray”, esta investigación afirma que el éxito de la acción colectiva
indígena amazónica en el Perú se ve definida por tres factores fundamentales.
Primero, por la formación de un sistema regional de mayor apertura hacia la
movilización indígena que permite el logro de aliados en la élite regional. Segundo,
por la existencia de formas claras organizativas que contemplan estrategias
específicas, una red amplia de aliados cohesionada hacia el objetivo práctico y
modelos de movilización que integran prácticas de diálogo. Tercero, por el uso de
un discurso ideológico que utiliza la defensa de derechos colectivos al igual que
demandas de inclusión, permitiendo generar cohesión interna en la organización
hacia el objetivo y efectos de sensibilización en las autoridades. El fracaso de la
acción colectiva también se produce por tres elementos. Primero, por la ausencia
de aliados en la elite regional y la presencia de autoridades represivas. Segundo,
por la presencia de complejas formas organizativas y débiles, que utilizan
inefectivas estrategias y modelos movilización sin diálogo. Tercero, por un
discurso elaborado que no integra la defensa de los derechos colectivos con las
demandas de igualdad, generando la fragmentación interna en la organización y
un frágil impacto en las autoridades. Esto permite entender la construcción de la
acción colectiva indígena amazónica en el desarrollo de los conflictos
socioambientales generados por la superposición de lotes de hidrocarburos en
tierras tituladas indígenas y en áreas naturales protegidas.",http://hdl.handle.net/20.500.12404/5341,Movimientos indígenas amazónicos y acción colectiva en conflictos socioambientales: los casos de la reserva comunal Amarakaeri y la cuenca del río Curaray .,Ciencia Política y Gobierno
